"MethodName","allMethodHistories","methodHistories","authors","stmtAdded","maxStmtAdded","avgStmtAdded","stmtUpdated","maxsSmtUpdated","avgStmtUpdated","stmtDeleted","maxStmtDeleted","avgStmtDeleted","stmtParentChanged","churn","maxChurn","avgChurn","decl","cond","elseAdded","elseDeleted","loopsAdded","loopsUpdated","loopsDeleted","variablesAdded","variablesUpdated","variablesDeleted","assigmentsAdded","assigmentsUpdated","assigmentsDeleted","returnsAdded","returnsUpdated","returnsDeleted","nullsAdded","nullsUpdated","nullsDeleted","casesAdded","casesUpdated","casesDeleted","breaksAdded","breaksUpdated","breaksDeleted","objectsAdded","objectsUpdated","objectsDeleted","catchesAdded","catchesUpdated","catchesDeleted","throwsAdded","throwsUpdated","throwsDeleted","loc","NumOfBugs","Buggy"
"org.apache.flume.client.avro.ReliableSpoolingFileEventReader.ReliableSpoolingFileEventReader(File,String,String,String,boolean,String,boolean,String,String,Context,String,String,DecodeErrorPolicy,ConsumeOrder)",2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,1,"1"
"org.apache.flume.channel.file.Log.close()",61.0,59.0,3.0,21.0,5.0,3.0,2.0,1.0,1.0,8.0,3.0,2.0,21.0,13.0,5.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,47.0,1,"1"
"org.apache.flume.sink.hdfs.HDFSCompressedDataStream.close()",17.0,17.0,4.0,12.0,6.0,2.0,1.0,1.0,1.0,4.0,2.0,1.3333333333333333,0.0,8.0,6.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1,"1"
"org.apache.flume.sink.hdfs.HDFSCompressedDataStream.open(String,CompressionCodec,CompressionType)",10.0,10.0,2.0,6.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,5.0,5.0,1.6666666666666667,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,1,"1"
"org.apache.flume.channel.file.Log.take(long,FlumeEventPointer)",93.0,93.0,3.0,33.0,11.0,6.6,4.0,1.0,1.0,25.0,11.0,5.0,30.0,8.0,11.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,3.0,0.0,2.0,4.0,1.0,2.0,29.0,1,"1"
"org.apache.flume.sink.hdfs.HDFSEventSink.stop()",52.0,50.0,5.0,24.0,11.0,4.0,12.0,4.0,2.0,9.0,5.0,2.25,2.0,15.0,9.0,1.875,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0,5.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,30.0,1,"1"
"org.apache.flume.sink.kite.TestDatasetSink.testPartitionedData()",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,2,"1"
"org.apache.flume.channel.file.Log.rollback(long)",93.0,93.0,3.0,33.0,11.0,6.6,4.0,1.0,1.0,25.0,11.0,5.0,30.0,8.0,11.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,3.0,0.0,2.0,4.0,1.0,2.0,32.0,1,"1"
"org.apache.flume.channel.file.FlumeEventQueue.FlumeEventQueue(EventQueueBackingStore,File,File,File)",22.0,22.0,1.0,19.0,19.0,19.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,19.0,19.0,19.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,32.0,1,"1"
"org.apache.flume.source.TestExecSource.runTestShellCmdHelper(String,String,String[])",10.0,10.0,2.0,6.0,4.0,3.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1,"1"
"org.apache.flume.sink.hdfs.BucketWriter.createCloseCallRunner()",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1,"1"
"org.apache.flume.source.TestSyslogUdpSource.testLargePayload()",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,1,"1"
"org.apache.flume.sink.SinkProcessorFactory.getProcessor(Context,List<Sink>)",16.0,15.0,2.0,7.0,7.0,7.0,8.0,4.0,2.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,34.0,1,"1"
"org.apache.flume.serialization.ResettableFileInputStream.readChar()",12.0,10.0,1.0,3.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,1,"1"
"org.apache.flume.sink.elasticsearch.TestElasticSearchLogStashEventSerializer.shouldHandleInvalidJSONDuringComplexParsing()",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,1,"1"
"org.apache.flume.serialization.TestResettableFileInputStream.testUtf8DecodeErrorHandlingReplace()",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1,"1"
"org.apache.flume.sink.hdfs.BucketWriter.close(boolean)",21.0,17.0,3.0,11.0,8.0,5.5,1.0,1.0,1.0,4.0,4.0,4.0,1.0,7.0,4.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,2,"1"
