"MethodName","allMethodHistories","methodHistories","authors","stmtAdded","maxStmtAdded","avgStmtAdded","stmtUpdated","maxsSmtUpdated","avgStmtUpdated","stmtDeleted","maxStmtDeleted","avgStmtDeleted","stmtParentChanged","churn","maxChurn","avgChurn","decl","cond","elseAdded","elseDeleted","loopsAdded","loopsUpdated","loopsDeleted","variablesAdded","variablesUpdated","variablesDeleted","assigmentsAdded","assigmentsUpdated","assigmentsDeleted","returnsAdded","returnsUpdated","returnsDeleted","nullsAdded","nullsUpdated","nullsDeleted","casesAdded","casesUpdated","casesDeleted","breaksAdded","breaksUpdated","breaksDeleted","objectsAdded","objectsUpdated","objectsDeleted","catchesAdded","catchesUpdated","catchesDeleted","throwsAdded","throwsUpdated","throwsDeleted","loc","NumOfBugs","Buggy"
"org.apache.jmeter.control.LoopController.resetLoopCount()",4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,"1"
"org.apache.jmeter.save.CSVSaveService.printableFieldNamesToString(SampleSaveConfiguration)",1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,1,"1"
"org.apache.jmeter.gui.tree.JMeterTreeListener.JMeterTreeListener(JMeterTreeModel)",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1,"1"
"org.apache.jmeter.visualizers.RespTimeGraphVisualizer.add(SampleResult)",19.0,17.0,3.0,3.0,2.0,1.5,6.0,3.0,2.0,7.0,3.0,2.3333333333333335,0.0,-4.0,0.0,-1.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,3,"1"
"org.apache.jmeter.protocol.jms.client.Publisher.Publisher(boolean,String,String,String,String,boolean,String,String)",55.0,49.0,3.0,10.0,7.0,2.5,12.0,3.0,1.3333333333333333,14.0,6.0,2.3333333333333335,1.0,-4.0,4.0,-0.5714285714285714,10.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,2.0,5.0,6.0,5.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1,"1"
"org.apache.jmeter.protocol.http.control.HttpMirrorThread.run()",154.0,134.0,3.0,64.0,32.0,8.0,17.0,4.0,1.8888888888888888,21.0,14.0,4.2,8.0,43.0,18.0,5.375,0.0,1.0,4.0,2.0,6.0,0.0,4.0,15.0,5.0,4.0,6.0,4.0,1.0,0.0,0.0,0.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,89.0,1,"1"
"org.apache.jmeter.protocol.jms.control.gui.JMSSubscriberGui.stateChanged(ChangeEvent)",24.0,23.0,2.0,11.0,6.0,5.5,2.0,2.0,2.0,5.0,5.0,5.0,1.0,6.0,6.0,3.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1,"1"
"org.apache.jmeter.protocol.system.gui.SystemSamplerGui.init()",9.0,9.0,1.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1,"1"
"org.apache.jmeter.protocol.http.sampler.SoapSampler.sendPostData(PostMethod,int)",27.0,19.0,2.0,8.0,5.0,4.0,7.0,2.0,1.4,0.0,0.0,0.0,0.0,8.0,5.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,66.0,1,"1"
"org.apache.jmeter.util.ScopePanel.isScopeChildren()",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,"1"
"org.apache.jmeter.protocol.tcp.config.gui.TCPConfigGui.init()",16.0,16.0,1.0,7.0,3.0,2.3333333333333335,5.0,2.0,1.6666666666666667,3.0,3.0,3.0,0.0,4.0,3.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,1,"1"
