"MethodName","allMethodHistories","methodHistories","authors","stmtAdded","maxStmtAdded","avgStmtAdded","stmtUpdated","maxsSmtUpdated","avgStmtUpdated","stmtDeleted","maxStmtDeleted","avgStmtDeleted","stmtParentChanged","churn","maxChurn","avgChurn","decl","cond","elseAdded","elseDeleted","loopsAdded","loopsUpdated","loopsDeleted","variablesAdded","variablesUpdated","variablesDeleted","assigmentsAdded","assigmentsUpdated","assigmentsDeleted","returnsAdded","returnsUpdated","returnsDeleted","nullsAdded","nullsUpdated","nullsDeleted","casesAdded","casesUpdated","casesDeleted","breaksAdded","breaksUpdated","breaksDeleted","objectsAdded","objectsUpdated","objectsDeleted","catchesAdded","catchesUpdated","catchesDeleted","throwsAdded","throwsUpdated","throwsDeleted","loc","NumOfBugs","Buggy"
"org.apache.tomee.installer.Installer.installListener(String)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,1,"1"
"org.apache.tomee.catalina.TomcatJndiBuilder.mergeRef(NamingResources,ResourceReferenceInfo)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,1,"1"
"org.apache.tomee.catalina.TomcatLoader.init(Properties)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1,"1"
"org.apache.tomee.catalina.TomcatWebAppBuilder.startInternal(StandardContext)",213.0,193.0,5.0,80.0,11.0,3.8095238095238093,27.0,10.0,1.6875,20.0,9.0,2.857142857142857,13.0,60.0,10.0,2.5,0.0,6.0,2.0,0.0,0.0,0.0,0.0,18.0,12.0,5.0,8.0,0.0,3.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,111.0,6,"1"
"org.apache.tomee.catalina.TomcatWebAppBuilder.afterStart(StandardContext)",149.0,137.0,2.0,45.0,13.0,6.428571428571429,22.0,13.0,3.6666666666666665,7.0,2.0,1.75,15.0,38.0,13.0,4.75,0.0,7.0,1.0,0.0,0.0,0.0,0.0,16.0,16.0,4.0,10.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,125.0,2,"1"
"org.apache.tomee.catalina.TomcatWebAppBuilder.deployWebApps(AppInfo,ClassLoader)",88.0,83.0,3.0,22.0,6.0,2.4444444444444446,15.0,8.0,2.142857142857143,15.0,11.0,5.0,7.0,7.0,6.0,0.7,0.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,9.0,4.0,6.0,2.0,5.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,1,"1"
"org.apache.tomee.catalina.TomEERealm.logInTomEE(Principal)",2.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1,"1"
"org.apache.tomee.catalina.realm.LazyRealm.addPropertyChangeListener(PropertyChangeListener)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,"1"
"org.apache.tomee.myfaces.TomEEAnnotationProvider.getAnnotatedClasses(ExternalContext)",41.0,39.0,2.0,29.0,18.0,7.25,3.0,1.0,1.0,7.0,5.0,3.5,0.0,22.0,13.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,2.0,0.0,0.0,3.0,1.0,1.0,28.0,1,"1"
"org.apache.tomee.catalina.TomcatJndiBuilder.mergeJndi()",7.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,0.0,-4.0,-4.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,35.0,1,"1"
